gX,gY,gZ
338.5620,-251.7090,138.0615
303.6499,-172.8516,234.5581
187.5000,-122.4365,257.9346
120.9717,-80.9937,268.1274
80.0781,-67.3218,239.9902
45.3491,-40.0391,291.5649
8.1177,-23.2544,351.3184
-106.5063,-36.6821,286.3159
-166.9922,-19.2871,316.5283
-210.5713,79.8340,397.3999
-246.7041,138.7329,367.6758
-194.3359,120.8496,315.4297
-191.7114,63.1104,230.7129
-262.5122,-83.8013,149.2310
-243.3472,-96.0083,103.6377
-208.0078,-85.5713,74.4019
-254.9438,-244.3237,32.4707
-250.9155,-288.8794,53.5889
-216.0645,-285.7056,48.5840
-187.7441,-336.6699,15.3809
-105.5908,-211.1206,22.5220
-8.4839,-103.6987,-26.8555
18.9209,-97.1069,-52.4292
19.5923,-67.8101,-16.6626
30.2734,-55.9692,-13.1836
33.9355,-46.3257,-27.2217
19.7144,-23.2544,-2.5024
13.4277,-12.8784,0.6104
21.6675,-15.2588,-0.7324
12.3901,-16.1743,1.0376
9.7046,-13.4888,1.8311
-0.7324,-10.9253,9.0942
364.9902,-315.0635,-228.1494
200.1953,-325.8667,-131.0425
267.3950,-284.4849,41.6260
332.0923,-238.2202,179.7485
304.9927,-217.3462,217.8345
184.4482,-166.2598,190.3687
144.1650,-142.0288,227.0508
146.7896,-117.0654,262.5122
96.0083,-108.3374,267.3950
33.3862,-79.4678,320.0073
-79.6509,-29.8462,394.4092
-158.0200,-43.8232,359.1309
-200.6226,-1.4038,344.6045
-204.6509,86.3647,397.0947
-127.9907,102.4170,377.2583
-229.7974,0.0610,259.7046
-281.5552,-67.1997,211.7920
-203.7964,16.1743,161.6821
-289.0015,-207.5195,89.7217
-342.7124,-366.7603,60.9741
-287.9028,-288.7573,101.3184
-279.6021,-326.7212,42.9077
-237.3657,-288.2690,21.6675
-147.1558,-200.4395,9.3384
-70.2515,-181.6406,-19.1040
-1.8311,-121.2769,-51.6968
44.3726,-100.5249,-35.3394
94.9707,-94.3604,-67.6270
104.4312,-81.7261,-52.4902
79.2847,-61.6455,-38.4521
73.3032,-52.1240,-21.6675
44.5557,-40.1611,-5.7983
324.3408,-257.9346,41.1987
200.0122,-196.7163,114.3188
169.1284,-169.7998,231.8726
195.1294,-146.8506,343.3838
103.3936,-146.0571,228.7598
15.0146,-113.2202,196.6553
-21.2402,-54.6265,295.6543
-113.1592,-17.7612,304.9927
-200.7446,-12.8784,258.4839
-219.1162,46.5088,301.5747
-247.1924,122.7417,281.7993
-278.8086,27.7100,241.3330
-291.4429,36.8042,217.3462
-300.5981,18.7378,111.0229
-410.0952,-181.7017,83.6182
-368.2251,-184.6924,117.7979
-338.9893,-218.9331,62.6221
-289.9170,-206.7261,67.7490
-200.1953,-206.1157,46.8750
-119.2017,-148.9258,10.1318
-35.4614,-77.7588,-8.0566
3.7231,-62.0728,-28.9917
14.2212,-40.9546,-5.8594
18.3716,-44.2505,-8.7280
56.9458,-40.2832,-14.7095
32.1655,-24.1699,-7.2021
24.7192,-19.8975,-4.5776
24.9023,-13.4277,-5.4321
0.4272,-11.4136,-0.3662
3.0518,-4.3945,7.8125
9.5825,1.0986,-1.4648
6.5308,2.9907,-4.1504
365.7227,-324.8291,49.6826
365.1123,-280.7617,98.9990
270.5078,-239.8071,121.8262
168.2739,-178.9551,124.0234
102.7832,-141.7236,94.4824
67.3828,-135.0098,100.2197
92.8345,-124.0845,218.2617
108.1543,-130.1880,263.7329
11.1084,-98.3887,265.9912
-64.2700,-48.1567,340.3931
-124.5117,-14.7095,350.7690
-263.2446,12.9395,299.7437
-315.3687,72.8760,348.0225
-206.4819,159.6069,294.2505
-384.9487,-13.0005,167.2974
-399.4751,-147.5830,185.4858
-378.2959,-95.3369,93.5669
-381.7749,-147.0947,27.5269
-360.1074,-196.2891,71.6553
-262.6343,-182.1899,56.0303
-206.4209,-139.2212,29.5410
-123.6572,-40.4663,-1.8311
-83.6792,-50.2930,-10.0708
-66.1621,-36.3159,3.1738
-10.4980,-16.7847,-11.2305
-1.2207,-28.7476,-18.8599
9.0942,-20.3247,-9.7656
18.9819,-22.7051,-4.3945
32.8979,-22.7661,-4.1504
40.1611,-16.9067,3.6621
23.8037,-7.5073,4.6997
18.7378,-17.0898,3.1738
364.3188,-278.6865,127.8076
325.3784,-258.6670,247.0703
183.2275,-182.5562,208.6182
101.7456,-146.5454,115.1123
101.6235,-119.9341,159.1797
77.2705,-104.9805,179.0771
77.8809,-98.8159,243.8354
77.3315,-87.4634,321.2280
-2.1362,-69.2749,332.5806
-78.4302,-60.6689,309.3872
-92.7124,-47.6074,329.0405
-37.5977,-6.9580,326.0498
-74.7681,-14.4653,308.1665
-120.6665,10.4980,310.0586
-132.0190,22.2778,284.7900
-214.9658,9.1553,271.2402
-203.4302,-49.9878,208.3130
-190.9180,-143.4937,121.6431
-226.2573,-217.8345,91.4917
-188.3545,-137.3901,63.3545
-204.7119,-181.7627,68.2983
-153.5645,-215.2710,74.2188
-173.6450,-144.2871,10.5591
-165.1611,-160.5835,-1.7090
-142.0288,-216.9189,-7.9956
-120.2393,-212.0972,0.4883
-86.8530,-215.8203,7.3853
-47.4854,-258.4229,-19.8364
-13.1226,-222.1069,-44.6777
40.4053,-204.2236,-74.7070
78.3691,-165.8936,-108.8867
66.9556,-92.4683,-59.9365
305.1758,-300.7202,-74.7070
234.4971,-265.8081,-19.7144
238.8306,-198.8525,95.4590
218.4448,-181.8848,162.5366
166.6260,-170.4712,169.2505
136.5967,-166.6260,171.0815
126.5259,-152.2827,237.0605
112.6099,-126.6479,249.3286
70.3125,-101.7456,259.0942
69.0308,-101.0742,254.2725
-5.0659,-87.8906,250.4883
-62.6831,-82.0923,282.2266
-91.8579,-54.7485,314.5752
-145.3247,-23.9258,325.0732
-127.7466,10.5591,342.2852
-139.3433,26.1230,333.7402
-219.7876,34.2407,316.1621
-191.2842,25.8179,258.0566
-210.9985,-45.8984,197.3267
-223.8770,-97.3511,179.5654
-213.5010,-70.3125,147.3999
-215.3931,-183.4106,126.4038
-218.2617,-241.6992,98.8770
-232.2388,-243.7134,79.4067
-208.3740,-151.9165,32.3486
-182.5562,-141.4795,58.1055
-148.9258,-189.0869,37.7197
-119.2017,-211.6699,23.0713
-94.7876,-194.3359,20.5688
-58.9600,-231.5063,20.3247
-20.3247,-245.4834,-11.9629
29.4189,-195.3125,-48.7671
118.7134,-131.8359,269.4092
79.7119,-135.6812,230.9570
62.4390,-110.7788,276.3672
20.3247,-66.5894,302.0020
-19.4092,-62.3779,240.2344
-119.2017,-56.2744,237.8540
-101.9287,-16.4795,273.4985
-93.1396,-14.6484,255.1270
-131.3477,14.8926,320.0073
-101.9897,27.5879,308.1665
-130.6152,25.5737,296.1426
-150.0854,32.1655,291.9922
-122.9858,11.6577,234.7412
-125.8545,-29.7241,188.9038
-159.1187,-176.0254,130.2490
-134.8267,-217.1021,88.2568
-156.3110,-211.3647,73.8525
-135.0098,-245.0562,91.1255
-138.2446,-226.6846,79.2236
-151.3062,-217.8955,43.9453
-102.7832,-168.8232,37.8418
-79.7729,-176.2695,5.7983
-72.5098,-197.8760,-23.8037
-38.5132,-135.5591,-12.6953
-36.8042,-157.7148,-30.7617
8.1787,-204.1626,-55.9692
0.3662,-208.4351,-64.5142
-6.2866,-124.2065,-26.3672
28.5645,-119.5068,-28.0762
43.5181,-138.6719,-69.3359
42.7856,-101.5625,-51.3916
58.9600,-92.3462,-41.9922
253.1128,-318.9697,56.3354
302.4902,-272.3999,162.5977
244.3848,-230.7129,235.9009
138.9771,-158.2642,216.2476
102.1118,-116.5161,272.8271
117.7368,-101.6846,357.0557
83.4961,-94.2383,311.7065
-46.1426,-52.6733,299.9268
-29.1748,-29.6021,318.2373
-80.2612,-41.6260,256.4087
-154.9683,-17.3950,328.6743
-49.1333,27.7710,355.5908
-134.7046,2.6245,306.8848
-166.6260,4.6997,305.5420
-123.4741,-2.1362,233.2764
-159.6069,-25.8179,184.3262
