gX,gY,gZ
4.0283,43.9453,-4.2114
-125.5493,-37.9028,38.7573
-165.7104,1.1597,50.1709
-210.8765,34.3018,63.8428
-251.8311,21.8506,85.0830
-278.9307,-32.0435,98.3276
-312.4390,-55.7861,115.2344
-298.7061,-140.6250,107.6050
-282.4097,-185.0586,93.1396
-255.1880,-207.3975,62.7441
-240.6006,-106.7505,40.2222
-211.7310,-82.0923,20.6909
-164.1846,-76.3550,13.0005
-101.3184,32.8369,-3.1738
84.7778,50.0488,-54.3823
169.0674,79.4678,-67.3218
228.9429,54.0771,-49.6826
248.7183,49.3774,-41.6870
260.9253,54.0771,-50.2930
258.9111,71.9604,-57.1899
252.8076,91.7969,-48.8281
262.2070,28.0762,-58.3496
258.7280,34.7290,-37.1704
228.8208,154.3579,-40.5273
176.1475,12.6343,-33.9966
158.6304,21.1792,-46.3867
130.0659,65.6738,-49.9268
82.6416,-23.3765,-6.3477
82.1533,18.6157,-31.3721
54.9316,20.3857,-10.0708
2.2583,2.5024,8.7891
-2.3193,-6.4087,10.4370
-0.3662,76.5991,0.7324
-40.8325,39.0015,32.5928
-100.9521,13.7329,58.0444
-150.0854,-6.8970,84.5337
-236.6333,-29.2358,116.8823
-300.5981,-62.2559,134.0942
-366.2720,-124.3286,148.9258
-369.3848,-217.1021,126.2817
-332.2144,-190.6738,107.0557
-269.0430,-157.1655,62.7441
-261.6577,-70.4346,47.1191
-229.1260,-69.6411,41.1987
-175.5371,-101.8677,44.3726
-92.9565,3.8452,9.2163
12.4512,67.1997,-30.9448
142.9443,81.4819,-65.1245
201.3550,59.2651,-61.9507
226.6235,39.3677,-47.9126
242.5537,67.1387,-54.4434
243.7744,47.4243,-60.5469
244.3237,57.2510,-46.7529
265.1367,37.9028,-69.3359
261.0474,40.1611,-65.4297
242.3706,52.3071,-57.8613
276.0620,84.7168,-71.8994
210.0830,74.5239,-55.7251
173.2178,41.6870,-57.3730
158.3252,47.4243,-58.2886
102.4170,-18.9819,-9.0942
72.5098,4.8828,-25.3906
48.0957,5.4932,-12.7563
9.5215,-2.1362,4.1504
-8.4839,31.8604,0.6714
-71.6553,13.1226,31.6772
-138.1836,-2.1362,49.4995
-215.5151,-12.3291,91.7358
-281.4941,-48.7671,108.1543
-347.3511,-81.7871,123.9624
-358.9478,-147.2778,125.1831
-335.6934,-148.7427,103.2104
-302.7344,-149.8413,78.6133
-273.4985,-93.2617,52.1851
-243.8965,-77.4536,40.5884
-222.3511,-95.1538,50.9033
-195.8008,-90.2710,51.3306
-137.9395,-29.3579,23.1323
-27.5879,48.7671,-24.8413
111.2671,52.3682,-64.3311
178.4058,51.0254,-59.7534
204.2236,51.3916,-54.0161
221.9238,64.1479,-57.9834
226.8677,69.8853,-60.1807
242.9810,56.5186,-61.8286
255.1270,55.4199,-68.3594
258.4229,41.9312,-67.7490
229.5532,36.4990,-50.1709
250.0610,12.2070,-55.5420
230.8960,46.5088,-45.0439
183.5937,2.2583,-26.6113
180.8472,30.7617,-32.3486
137.1460,46.8140,-26.2451
120.4224,-4.2114,-29.6631
115.3564,13.6108,-9.2773
88.0127,22.1558,-26.4282
-32.9590,31.1279,8.1177
-108.1543,6.2866,40.1611
-169.1895,-9.7656,62.9883
-223.0835,-10.4370,78.9185
-261.7798,-22.2168,88.5620
-292.0532,-28.7476,100.7690
-312.2559,-74.5850,97.4731
-316.3452,-89.1724,92.7734
-302.6733,-131.8970,81.9092
-267.2119,-121.3379,68.6646
-247.1924,-104.8584,54.6875
-213.5010,-128.9062,60.9131
-158.0811,-80.7495,33.0200
-89.6606,-33.7524,3.2349
2.5024,22.8271,-12.7563
92.4683,41.8091,-28.3203
127.3193,63.1104,-32.2876
165.4053,74.5239,-45.4712
192.3218,74.2798,-54.6875
214.7217,59.3872,-56.7627
219.8486,42.8467,-50.2319
236.8164,32.6538,-56.7017
247.4365,35.4614,-55.4199
226.5015,29.1138,-41.1987
260.8643,-65.2466,-55.1758
241.4551,-21.6064,-28.3203
259.2163,114.1968,-36.6211
215.5151,91.0645,-36.4990
182.5562,81.9702,-36.8652
139.3433,61.6455,-37.8418
91.4917,22.6440,-17.6392
80.6274,-4.6387,-19.2871
-46.9971,13.9771,18.4326
-152.3437,-43.9453,54.2603
-234.9243,-95.4590,61.8896
-257.0190,-34.9121,63.9648
-279.1138,-10.9253,72.9370
-289.3677,-4.7607,79.2236
-291.3818,-43.9453,78.4302
-281.6772,-86.6699,66.5283
-270.9961,-117.0044,64.5142
-255.7983,-140.8081,62.3779
-227.2339,-161.2549,54.6875
-201.3550,-117.2485,39.1235
-176.9409,-75.9888,24.3530
-98.2056,-88.6841,13.3667
-18.3716,16.5405,-4.8218
50.8423,43.6401,-22.4609
98.8770,40.8325,-8.9722
120.0562,65.3687,-8.6670
149.1089,102.4780,-28.6865
188.5986,85.0830,-45.8984
193.9087,60.4858,-42.1753
209.3506,75.3784,-46.1426
216.1865,71.0449,-38.4521
239.0747,54.1382,-57.9834
244.5068,57.3730,-53.1006
220.0928,56.4575,-43.8843
254.5166,45.4102,-62.6221
209.2896,119.5679,-44.3115
178.5278,68.3594,-51.3306
170.1660,33.3252,-48.4009
119.0186,49.3774,-31.1279
97.5342,1.8921,-24.0479
-18.3716,54.0161,10.3149
-90.0879,45.6543,29.2969
-206.9092,-8.3008,55.8472
-266.6016,4.0283,84.2285
-305.8472,13.8550,99.5483
-342.6514,-24.4751,107.9712
-343.4448,-82.7637,103.4546
-315.1245,-87.1582,75.0732
-293.6401,-106.9336,51.8188
-291.6260,-154.4189,55.4810
-272.8882,-162.4756,57.2510
-232.7881,-143.4326,45.3491
-202.4536,-100.0366,34.5459
-106.5674,-73.4863,26.8555
-5.9814,-33.5083,3.4790
99.6094,87.2803,-51.0864
147.6440,100.1587,-53.4058
153.2593,59.7534,-28.8086
163.6353,61.4014,-24.4141
175.7812,62.1948,-25.7568
183.1055,36.4990,-22.5220
200.1343,56.6406,-30.7007
211.2427,59.3262,-31.2500
213.2568,50.6592,-32.1655
225.4028,30.5786,-37.6587
238.5864,22.0337,-36.4990
235.2295,66.5283,-35.8887
185.4858,133.4229,-18.1274
125.3052,55.2368,-19.5313
108.8257,14.5874,-20.5688
97.7173,15.0146,-6.8970
83.6182,14.7095,-3.6621
-37.5366,34.1187,14.2212
-96.6797,31.1890,35.5835
-178.7109,23.4985,55.7251
-224.8535,29.7852,67.6270
-273.5596,-6.8970,77.8198
-306.0303,-52.4292,82.3975
-333.9844,-114.0137,86.5479
-337.2803,-177.7954,86.7310
-315.1245,-197.0215,85.2661
-268.3105,-168.6401,60.2417
-245.3003,-138.1836,39.5508
-235.2905,-66.4063,34.5459
-218.8110,-37.5977,31.1279
-132.5073,-65.2466,19.1040
-26.4282,20.8130,-13.9160
80.8716,84.3506,-52.3682
140.9302,67.9932,-45.6543
156.2500,46.1426,-34.3018
173.8892,60.4248,-34.6680
187.9883,60.7910,-38.3301
194.3359,59.6924,-31.6772
195.9839,43.6401,-28.3203
204.9561,41.6260,-26.8555
207.1533,50.4761,-29.6021
222.9614,49.9268,-27.5269
242.1265,66.5894,-33.8745
217.3462,70.4346,-42.1753
230.6519,101.4404,-51.5137
193.2983,89.0503,-45.5322
146.0571,21.9116,-24.8413
144.4702,5.8594,-30.5176
124.8779,26.7334,-23.8647
-73.0591,1.7700,26.9775
-139.8315,-9.3384,46.9360
-231.3232,-40.0391,60.3027
-272.1558,-53.2837,66.5283
-308.7769,-17.0898,75.0122
-320.1904,-49.3164,78.2471
-325.8667,-92.2852,73.5474
-329.9561,-117.8589,75.9888
-308.3496,-132.8125,68.7256
-289.9170,-158.0200,67.4438
-268.3105,-147.5830,51.6968
-235.6567,-52.7344,25.2686
-153.2593,-52.9785,25.8789
-8.4229,-30.9448,6.8359
109.8633,69.5801,-48.1567
155.2124,91.3086,-59.6924
172.2412,91.7358,-52.9175
194.8853,71.4111,-51.7578
202.0874,74.6460,-48.1567
217.4683,59.2041,-44.6777
225.8301,38.8184,-45.9595
223.7549,51.7578,-37.7808
240.1733,41.1377,-43.8843
223.4497,18.3716,-29.4800
243.6523,47.3633,-37.4756
224.3652,64.7583,-47.9126
205.6274,41.8701,-44.0674
196.3501,91.8579,-46.7529
143.5547,45.4712,-37.1094
114.2578,20.8130,-33.8745
108.0933,9.0942,-31.7383
80.9326,-9.2163,-14.2822
-108.3374,34.0576,37.0483
-165.8325,-16.7847,56.3354
-230.2246,-69.0308,51.6968
-296.9971,-66.8945,72.2656
-309.9365,-70.5566,70.3125
-308.5327,-89.4775,62.1948
-313.8428,-89.8438,63.9648
-284.7290,-101.6235,52.1851
-261.2915,-94.1162,40.8936
-250.1221,-92.2852,45.9595
-224.1211,-102.5391,46.2646
-194.8853,-111.7554,46.1426
-145.0806,-35.6445,19.4092
-42.7246,21.4844,-7.8735
68.5425,21.7285,-23.6206
111.1450,45.5322,-26.0620
127.5635,60.4858,-31.3110
152.2827,67.8101,-41.2598
174.8047,82.0313,-51.7578
184.3872,74.8291,-46.8750
202.6978,67.7490,-42.2363
