timestamp,aX,aY,aZ,gX,gY,gZ
0,0.3007,0.6113,1.5580,36.6211,41.9312,-75.2563
1,0.3368,0.4349,1.4968,-78.3081,17.0898,0.5493
2,0.4908,0.2555,1.3706,-169.9219,48.3398,46.6309
3,0.1997,0.0516,0.7848,-250.7324,-34.2407,128.9673
4,0.0651,0.2427,0.1045,-271.7896,-68.2983,147.7051
5,-0.0896,0.2626,-0.2181,-308.0444,-75.6836,186.3403
6,-0.4823,-0.2651,-0.9158,-273.9868,-15.4419,142.5781
7,-0.6177,-1.0608,-1.9785,-112.1216,22.8882,89.5386
8,-0.6979,-0.4031,-1.1599,150.4517,52.0630,-137.8174
9,-0.5280,0.1104,-0.7491,192.5659,25.5127,-160.5225
10,-0.2612,0.3348,-0.4058,202.4536,-5.1270,-87.2192
11,-0.1366,0.3435,-0.0980,247.6196,1.2817,-94.4824
12,0.1193,0.5474,0.6389,251.5869,5.3711,-117.7979
13,0.1409,0.5624,0.9915,206.4209,19.4092,-101.6846
14,0.1705,0.6436,1.0088,90.4541,4.5166,5.0049
15,0.1758,0.6285,1.1262,106.3232,13.8550,-37.6587
16,0.1191,0.3993,1.0112,61.7065,-6.8970,-1.0986
17,0.0404,0.0704,1.2683,-32.0435,-34.4238,22.0337
18,0.2086,0.5228,1.2611,22.5220,37.1094,-42.5415
19,0.3147,0.7028,1.7665,-72.0825,9.5825,6.5918
20,0.3220,0.3650,1.4161,-144.4092,13.4277,36.4990
21,0.1499,0.1962,0.8290,-227.7222,2.5635,78.6133
22,-0.0283,0.2476,0.1630,-266.7236,-32.2266,132.8735
23,-0.0741,0.2745,-0.1207,-286.2549,-107.4219,158.5693
24,-0.3412,0.1064,-0.7579,-245.6055,-85.6323,120.1172
25,-0.3856,-0.3802,-1.4783,-193.7256,42.2363,43.3960
26,-0.7645,-0.4508,-1.5609,4.4556,16.8457,-1.0376
27,-0.5651,-0.1001,-1.1000,124.1455,33.6914,-118.5303
28,-0.3901,0.1937,-0.7112,181.2134,31.7993,-99.6094
29,-0.2562,0.2892,-0.3905,221.4966,20.3857,-93.9941
30,-0.1487,0.3369,0.0913,238.0371,0.6104,-94.4824
31,0.0565,0.5348,0.8237,232.8491,41.5649,-99.4263
32,0.0287,0.4386,0.9866,189.8193,29.2969,-65.4907
33,0.0350,0.4650,1.1372,138.7939,-3.4790,-30.1514
34,0.2192,0.6646,1.3145,88.4399,-44.4336,-46.8140
35,0.5028,0.6990,0.8782,-9.6436,5.4932,6.2866
36,0.3267,0.5667,1.1362,-82.3975,37.4146,22.3389
37,0.2020,0.5905,1.2504,-94.3604,36.1938,24.2310
38,0.2167,0.5521,1.1123,-137.5732,3.8452,41.6260
39,0.1044,0.4153,0.7289,-184.8755,-6.7139,99.3652
40,-0.0623,0.3396,0.2305,-227.0508,-60.8521,117.4927
41,-0.1698,0.3724,-0.2078,-237.0605,-102.7832,134.2163
42,-0.3521,0.2396,-0.6931,-198.1201,-172.4854,164.4287
43,-0.2495,0.0054,-1.0610,-190.0024,47.8516,-0.7935
44,-0.6237,-0.3436,-1.4807,-112.0605,15.2588,53.2837
45,-0.5142,-0.0723,-1.1053,32.4097,11.1084,-31.3721
46,-0.4723,0.0023,-1.0576,101.8066,40.4663,-73.3643
47,-0.3904,0.2211,-0.8340,158.6304,28.2593,-81.8481
48,-0.3160,0.3251,-0.5355,184.6924,15.0146,-72.6929
49,-0.2474,0.4025,-0.2102,221.4966,38.2690,-92.4683
50,-0.1241,0.4822,0.3502,246.0937,45.1050,-110.5957
51,-0.0342,0.4896,0.6644,203.3691,63.7817,-82.5806
52,0.1298,0.5447,1.0068,158.0200,-6.3477,-42.7246
53,0.4247,0.6948,1.4802,153.5034,-11.5967,-45.3491
54,-0.0930,0.3839,0.8649,26.7334,-47.6685,19.5923
55,0.4941,0.6183,1.9664,9.5215,2.3804,18.1885
56,0.2961,0.5427,1.3854,13.6108,45.4102,-32.6538
57,0.3428,0.6472,1.5326,-79.1016,18.1885,26.0010
58,0.1664,0.4342,1.1074,-139.1602,6.4697,29.2358
59,0.0497,0.4355,0.7885,-153.0151,0.3052,48.2788
60,0.0723,0.4996,0.4951,-193.6646,-1.9531,78.0640
61,0.0283,0.5100,0.2136,-208.9233,-58.8379,104.6753
62,-0.1318,0.5042,-0.1583,-216.3086,-109.0088,126.0376
63,-0.3619,0.3413,-0.5565,-213.1348,-91.0645,118.8354
64,-0.4475,0.1406,-0.8682,-191.4673,-30.7617,67.5659
65,-0.3413,-0.2007,-1.3622,-108.2764,-29.4800,51.1475
66,-0.4484,-0.2194,-1.3331,15.1367,7.3853,-13.9771
67,-0.4410,-0.0487,-1.1161,110.9619,50.9644,-50.5371
68,-0.2750,0.2059,-0.7435,206.8481,11.9019,-48.9502
69,-0.3256,0.3365,-0.4991,188.7207,89.0503,-64.0259
70,-0.3252,0.3414,-0.0768,218.9331,72.0825,-57.7393
71,-0.2997,0.4081,0.4624,241.8823,82.0313,-98.6938
72,-0.0214,0.6484,1.0402,192.8101,57.9224,-82.2144
73,0.2358,0.8279,1.3372,108.8867,49.0112,-61.7676
74,-0.0100,0.4700,0.8535,59.6924,-11.2915,-22.7661
75,0.1539,0.5907,1.0392,35.2783,-3.2959,-20.2026
76,0.2162,0.3226,1.3303,-6.8970,-17.9443,-21.9727
77,0.2606,0.6249,1.4255,-23.6816,12.0239,-12.1460
78,0.1360,0.6691,1.3820,-103.1494,26.0620,15.8691
79,0.1335,0.4609,0.9993,-143.5547,16.7847,32.8979
80,0.0171,0.4094,0.7294,-165.6494,2.5024,75.3174
81,0.0042,0.5380,0.4036,-212.3413,-18.9819,84.8389
82,-0.1432,0.4209,-0.0806,-244.0796,-84.7778,125.6714
83,-0.2682,0.3114,-0.4866,-224.8535,-116.4551,132.4463
84,-0.3645,0.0813,-0.9268,-189.6362,-20.2637,35.6445
85,-0.3081,-0.3408,-1.4817,-125.7324,-27.2827,77.5757
86,-0.5757,-0.2798,-1.3839,36.1328,49.6216,-66.3452
87,-0.4177,-0.0615,-1.0740,125.9766,44.7388,-80.2612
88,-0.3523,0.2086,-0.7230,176.9409,35.1563,-74.6460
89,-0.2810,0.3353,-0.4481,205.6885,15.6860,-71.5942
90,-0.2057,0.4558,-0.0380,210.2661,35.9497,-82.7026
91,-0.1108,0.5962,0.4618,213.0737,-2.3804,-65.7349
92,-0.0896,0.7036,0.8187,167.1753,49.6216,-40.9546
93,0.0801,0.6699,1.1415,176.5747,59.6313,-76.4771
94,0.0115,0.5297,1.1259,113.1592,3.2959,-26.2451
95,0.1166,0.6514,1.1554,64.6362,-11.7798,1.2817
96,-0.0616,0.4956,0.9100,-20.6299,-19.7754,55.2979
97,0.1151,0.6249,1.2953,-26.2451,7.9956,-16.2964
98,0.0159,0.6735,1.3657,-64.4531,22.8882,10.0708
99,0.0779,0.4982,1.1071,-124.7559,11.1694,23.3765
100,0.0509,0.4733,0.8910,-165.7104,24.3530,48.5840
101,-0.0326,0.4910,0.5291,-202.4536,-51.8188,79.8950
102,-0.1162,0.5251,0.0618,-231.9336,-78.4302,91.1865
103,-0.0652,0.4137,-0.4263,-242.0654,-220.9473,157.9590
104,-0.3625,0.2026,-0.8420,-196.4722,-11.5967,24.6582
105,-0.3535,-0.1033,-1.1566,-150.0854,-11.1694,18.6768
106,-0.4135,-0.2554,-1.3994,-44.2505,-16.1743,4.2725
107,-0.2595,-0.0839,-1.1929,69.5190,2.7466,-18.1885
108,-0.3915,0.0378,-1.0681,103.0884,57.3120,-41.8701
109,-0.2681,0.2733,-0.7279,157.0435,48.4009,-65.6738
110,-0.1846,0.3534,-0.4812,181.6406,-44.0674,22.2778
111,-0.3506,0.2898,-0.3524,199.6460,81.4819,-32.9590
112,-0.3635,0.5181,0.3433,209.8389,88.5620,-53.5889
113,-0.1055,0.7537,0.9111,203.4302,115.9058,-89.8438
114,-0.2242,0.5662,0.8832,168.5791,32.5317,-56.0913
115,0.0146,0.6722,1.1343,106.2622,28.8086,-42.1753
116,0.0477,0.5967,1.1447,79.8340,3.0518,-12.9395
117,0.0795,0.6259,0.8450,-8.2397,12.1460,7.2632
118,0.1196,0.6051,1.1532,-58.9600,12.8174,7.6294
119,0.1339,0.6812,1.2842,-72.3877,30.8838,7.7515
120,0.1440,0.6003,1.1132,-128.9673,2.8687,42.6025
121,-0.0054,0.4897,0.8198,-174.1943,5.6152,90.3320
122,-0.1057,0.4624,0.4769,-211.2427,-38.3911,98.3887
123,-0.1691,0.4564,0.0782,-234.4360,-93.4448,105.0415
124,-0.3546,0.3187,-0.4393,-235.5347,-132.8735,131.4697
125,-0.3429,0.1034,-0.8430,-200.2563,-62.3169,85.3271
126,-0.3820,-0.2412,-1.1909,-179.9316,-4.3945,43.8232
127,-0.3655,-0.3896,-1.3505,-17.5171,-42.6636,41.0156
128,-0.4138,-0.2410,-1.2334,67.3218,48.4619,-65.1855
129,-0.3776,-0.0470,-0.9868,156.5552,51.1475,-76.4160
130,-0.2922,0.2515,-0.5796,210.2661,4.8218,-60.9741
131,-0.2570,0.3229,-0.3887,205.7495,68.2983,-83.1909
132,-0.2933,0.3918,0.0457,216.1255,73.5474,-67.6880
133,0.0549,0.8551,0.7627,195.1294,115.2344,-98.9380
134,-0.0442,0.7161,1.1044,222.5342,-27.4658,-39.6729
135,-0.0784,0.6570,0.9537,96.3745,-33.0200,-14.9536
136,0.0496,0.6317,0.9684,87.8906,23.3154,-33.8745
137,-0.0406,0.4464,0.9716,63.2324,-26.9165,-12.8784
138,0.0372,0.7802,1.1143,-24.3530,-0.7935,33.3252
139,0.1913,0.6417,1.3809,-95.1538,10.9863,14.2212
140,0.0310,0.5154,1.0990,-126.9531,22.5220,28.6255
141,0.0529,0.5134,0.8862,-149.7803,28.1372,36.3159
142,-0.0101,0.5009,0.6465,-186.1572,5.1270,64.1479
143,-0.1117,0.5277,0.2537,-216.6138,-59.4482,99.3652
144,-0.2732,0.4005,-0.1578,-223.8159,-114.0747,108.5815
145,-0.2458,0.3617,-0.4902,-200.8667,-177.6123,117.4316
