timestamp,aX,aY,aZ,gX,gY,gZ
0,-0.5092,-1.2717,-0.5317,40.7104,0.6104,257.4463
1,-0.2733,-1.2748,-0.0513,-48.6450,38.6353,289.3066
2,0.2682,-1.2142,0.1808,-175.9644,80.9937,240.1123
3,0.3910,-1.1702,0.1244,-291.3208,86.8530,209.8999
4,0.2998,-1.0571,0.4203,-377.8687,176.6968,210.2051
5,0.5970,-0.4315,0.3971,-386.5967,-181.1523,198.9136
6,0.6108,0.0763,0.4905,-227.4780,-197.2046,152.6489
7,0.2852,0.4270,0.4340,-104.9194,-150.7568,122.0093
8,0.2717,0.6624,0.5037,-40.1611,-43.4570,50.1709
9,0.1710,0.7302,0.5360,-11.7187,-30.5786,19.0430
10,0.1431,0.6305,0.7469,13.4277,-40.7715,8.4839
11,-0.0321,0.6365,0.5754,55.1758,-94.5435,8.6060
12,-0.0989,0.6810,0.6533,19.2261,-80.9326,44.1284
13,-0.1921,0.5555,0.6495,71.6553,-120.1172,-6.4087
14,-0.5172,0.1655,0.7793,199.6460,-230.2246,-65.6128
15,-0.7742,-0.0388,0.5372,260.1929,-260.5591,-68.1152
16,-0.8754,-0.3101,0.2874,230.2246,-337.6465,-32.4097
17,-0.9548,-0.1951,0.4309,162.7197,-178.8330,-15.6860
18,-1.0670,-0.4189,0.0311,230.1636,-71.2891,178.0396
19,-0.9554,-0.5951,0.0498,103.1494,-56.1523,176.3306
20,-0.8834,-0.9950,-0.2422,47.3633,24.8413,299.9878
21,-0.3516,-1.2678,0.1157,-78.6743,61.0352,305.6030
22,0.1044,-1.2678,0.5007,-293.3960,181.8237,325.5005
23,-0.0164,-1.3953,0.3007,-299.8047,237.6099,296.7529
24,0.3999,-0.9999,0.5753,-502.0142,136.7798,226.9897
25,0.7599,-0.1133,0.3909,-337.9517,-1.2207,178.7720
26,0.4917,0.1915,0.1646,-113.8916,-56.7627,77.1484
27,0.6355,0.2533,0.3829,-0.8545,-88.1348,53.7109
28,0.7322,0.5394,0.5295,29.9072,-80.1392,54.5044
29,0.5847,0.6768,0.6412,6.5308,-89.0503,74.2188
30,0.3555,0.5153,0.6931,35.7056,-171.8750,58.7769
31,-0.2178,0.7097,0.5802,100.7690,-237.1826,20.5688
32,-0.4010,0.3866,0.6184,104.0039,-223.2056,-18.7378
33,-0.7056,-0.0385,0.4197,260.6201,-314.3921,-59.7534
34,-0.9641,-0.2568,0.8019,270.0195,-331.9702,-97.1680
35,-1.0920,-0.3542,0.0148,213.0737,-179.1992,15.0146
36,-0.7455,-0.4392,0.0530,216.3086,-126.7090,53.7720
37,-0.9746,-0.4271,-0.0355,172.1802,-131.1035,113.4033
38,-0.7697,-0.7189,0.0236,47.9736,-29.6021,140.5640
39,-0.7354,-1.0398,-0.3116,11.5356,15.5640,299.4995
40,-0.4535,-1.2319,0.0577,-115.3564,102.2949,348.8770
41,-0.1296,-1.2976,0.3331,-232.3608,236.7554,295.3491
42,0.3220,-0.9380,0.4102,-263.3667,118.8965,183.3496
43,0.6299,-0.7949,0.6692,-221.3745,81.6040,128.9062
44,0.6339,-0.3029,0.6007,-225.3418,14.8315,120.5444
45,0.6056,-0.0344,0.5555,-203.9795,-38.8184,108.7036
46,0.4485,0.1682,0.4064,-119.6899,-82.2754,52.8564
47,0.4983,0.1455,0.5219,14.7705,-103.5156,21.4844
48,0.4476,0.3577,0.6510,16.6016,-72.1436,15.9912
49,0.5371,0.4565,0.8411,-6.5308,-8.0566,7.6904
50,0.4556,0.4434,0.9518,-1.8921,-18.9819,17.3950
51,0.3413,0.4419,0.8071,-17.0288,-46.8140,24.2310
52,0.1094,0.4998,0.5952,-32.1045,-149.8413,63.6597
53,-0.2479,0.4791,0.6434,26.4893,-242.0044,31.1279
54,-0.4924,0.0244,0.6663,168.7622,-298.9502,-62.9883
55,-1.0299,-0.3553,0.6017,300.1099,-363.7085,-78.1250
56,-1.1462,-0.3975,0.4972,242.9199,-268.7378,-20.9961
57,-0.8342,-0.3617,0.2979,241.8213,-135.6201,90.0269
58,-1.0573,-0.4227,0.0110,155.5786,-117.4927,117.4927
59,-0.8372,-0.6917,-0.3716,81.4819,-52.9785,170.5322
60,-0.5702,-1.0958,0.1125,-48.2178,19.3481,288.0249
61,-0.4857,-1.2325,0.1022,-173.7061,161.5601,367.4927
62,-0.1809,-1.3805,0.3480,-218.1396,234.0088,271.1792
63,0.2078,-1.1937,0.5935,-316.3452,221.0693,194.5801
64,0.5750,-0.6155,0.5813,-278.7476,38.3911,148.1323
65,0.5267,-0.2057,0.7930,-158.6304,35.8887,52.8564
66,0.5051,-0.0934,0.2850,-102.4780,-33.6914,53.4668
67,0.7732,-0.0312,0.5208,-57.1289,-65.5518,36.6211
68,0.5377,0.2355,0.6482,-60.6079,-115.2344,116.7603
69,0.4478,0.4407,0.7917,-31.3110,-80.2612,82.8857
70,0.1367,0.5474,0.7308,-37.9028,-152.3437,93.2007
71,-0.2147,0.5569,0.7291,11.8408,-181.8848,63.7207
72,-0.3649,0.4321,0.5929,55.7251,-178.6499,15.1367
73,-0.7053,0.1134,0.8088,173.8281,-270.7520,-63.4766
74,-0.8099,-0.1235,0.5739,233.9478,-240.4785,-48.7061
75,-0.9240,-0.2714,0.3922,235.9009,-249.5117,-56.2744
76,-0.9717,-0.2589,0.1188,208.7402,-187.9272,34.0576
77,-1.0792,-0.2799,0.2357,201.9043,-77.9419,106.0181
78,-0.9027,-0.4236,-0.1134,128.6011,-70.6177,110.9009
79,-0.8816,-0.5348,-0.2098,55.4199,-37.3535,130.4321
80,-0.7096,-0.8589,-0.2526,48.0957,-11.1084,193.4204
81,-0.4968,-1.0615,-0.3373,15.0146,21.3013,237.8540
