gX,gY,gZ
71.1670,299.2554,110.7788
84.8389,458.6182,166.5039
102.9053,582.2754,239.8682
143.6768,666.6870,307.6782
83.9233,538.4521,283.6914
49.1943,338.9282,156.5552
23.9258,104.3091,54.9316
-17.0898,-27.0386,3.2959
-42.4805,-178.5278,-52.0020
-16.6016,-41.1377,-23.9868
-8.7280,-43.6401,-12.5122
-3.5400,-10.4370,-9.8267
-5.9204,-12.0239,-3.2959
7.2632,-14.8926,-4.5166
-6.0425,-6.7749,-7.8735
2.3804,0.1221,-3.5400
-3.9062,-8.7891,-0.7324
0.1831,7.7515,2.4414
-0.3662,-7.0801,-2.8687
5.8594,-1.6479,0.0610
6.8359,5.3101,3.1128
-4.3335,-6.5918,-2.0752
4.0283,1.0986,0.6104
-1.8311,2.3193,1.7090
-0.2441,-3.5400,-0.7935
-1.3428,-2.6245,-2.7466
-1.7700,-2.3804,-0.0610
0.4883,-2.1973,-1.0376
1.7700,-4.0283,-2.4414
0.2441,-1.4038,0.5493
2.8687,-0.3662,-0.6714
-1.8311,-5.0659,-1.2817
64.4531,408.8135,158.0200
58.8379,468.6279,225.0366
64.5752,537.5977,258.9722
41.1377,515.7471,252.3193
-18.7988,336.4258,164.9780
-31.1279,73.9136,51.2085
-9.6436,0.9155,-1.6479
14.2212,15.0146,-5.9204
11.7798,0.4883,-0.6104
2.1973,-23.0103,-7.5684
5.3101,-1.1597,-1.6479
-7.2632,-8.7280,1.3428
2.2583,-0.6714,-2.8076
4.0283,-6.9580,-1.6479
-3.7842,-9.2773,-3.4790
1.6479,-7.9956,-0.3662
-0.9155,-0.3662,2.0752
-2.0142,-13.6108,-4.2114
3.5400,-5.3101,-4.0894
-3.7842,0.9155,3.3569
-0.5493,-8.3618,-2.5635
4.8218,0.5493,-1.7700
-7.6294,-0.8545,2.7466
-4.0283,-10.8643,-3.9062
3.8452,1.7090,-3.4790
0.7324,10.2539,2.0752
-2.5635,-14.3433,-4.3945
1.5259,0.3052,-3.2349
3.2959,8.3618,2.9297
2.0752,3.4180,1.5259
-2.1362,-2.0752,-0.7324
1.8311,0.0610,-1.5869
84.2285,435.4858,132.4463
129.0283,585.2661,215.7593
99.3042,574.8291,250.8545
57.0679,470.4590,215.8203
10.4980,304.9316,155.7617
5.8594,140.6250,74.2798
5.1270,44.9829,34.3628
-9.5215,-33.9966,13.4888
-14.7705,-76.1108,-7.5684
-7.7515,-36.8652,-8.9111
-5.3101,-33.3862,-8.3008
-5.1880,-36.1328,-10.7422
-5.2490,-34.3018,-9.7046
-0.3052,-30.5176,-11.2305
-8.0566,-41.3208,-11.0474
9.3384,-6.3477,-6.2866
2.0142,-22.5220,-7.1411
3.6011,-7.0190,-2.6245
6.3477,-6.1035,-6.0425
-2.7466,-13.3057,-3.7842
0.9155,-11.3525,-3.9673
0.4883,-3.2349,-2.4414
-0.3662,4.5166,4.0894
-1.3428,-3.7842,-1.5869
-5.7983,-11.3525,-3.1128
-1.4648,2.7466,0.6714
-1.8921,-6.8970,-2.9907
-0.6104,3.2349,1.8311
4.7607,9.2773,4.4556
-4.4556,-5.8594,-1.2207
0.4883,-5.9814,-2.7466
1.8921,3.5400,1.5259
76.6602,369.1406,128.9673
119.8120,487.4878,184.3872
116.8213,516.1133,230.2246
90.7593,472.2900,234.9854
11.0474,298.8281,153.2593
1.5869,177.5513,99.7925
-0.0610,81.1157,70.9229
-1.2817,61.3403,49.4385
-22.8271,-42.1753,20.9351
0.7935,-0.8545,12.5732
-6.6528,-1.2207,8.1177
0.7324,-11.1084,-1.0376
3.1738,2.6855,-0.7324
1.9531,-0.9155,0.7935
2.3193,-6.8359,-5.9814
1.9531,-11.3525,-7.0801
-4.0894,-17.4561,-5.4321
3.7231,0.1831,0.8545
1.2207,-4.6997,-2.1362
-1.8311,-14.9536,-3.2349
5.8594,5.7373,3.4180
1.2207,0.8545,0.9155
-3.3569,-7.8735,-2.8076
6.1035,1.5259,-1.7700
-4.0894,-2.8687,0.2441
2.8687,-2.6855,0.5493
7.3853,-12.5122,-14.9536
2.9297,-37.0483,-11.2915
0.5493,-5.1270,-3.6621
2.0752,5.3101,5.4321
-0.7935,1.2207,0.6714
0.2441,2.5024,-0.0610
47.7905,416.7480,122.0093
95.7031,572.0215,191.3452
116.5161,577.0874,222.7173
94.4214,505.2490,225.3418
50.1099,392.5781,203.9795
24.3530,273.4375,166.0767
-4.6997,108.3374,90.0879
-13.8550,16.6016,40.1611
-20.5078,-39.3677,-1.0986
-12.0239,-40.2832,-9.3384
0.3052,-5.1270,-5.4321
-2.5024,-19.7754,-12.7563
-5.6152,-9.5825,-10.7422
0.9155,-1.2207,-3.7231
3.8452,-5.3711,-4.5776
1.7090,-6.1035,-4.9438
3.1128,2.1973,-2.9907
0.0000,-12.8174,-4.0283
0.3052,-1.3428,0.3052
4.8218,-3.0518,-1.3428
-2.9297,-7.0190,-0.2441
-3.7231,-7.1411,-0.4272
3.4790,-3.8452,-1.8311
-2.6245,-16.5405,-3.8452
3.7231,-1.8311,-2.6855
-6.5308,-0.1221,2.8076
0.4272,-1.7700,-1.5869
0.7324,1.4648,1.1597
-0.0610,2.3193,1.2207
5.2490,1.0376,-2.1973
-0.7935,-2.0752,-0.0610
-2.2583,-4.2725,-1.1597
47.1191,327.8809,90.4541
57.1289,458.7402,151.4282
112.4878,525.2686,193.2373
109.9243,506.8359,224.1211
40.2222,353.6987,176.3916
-3.5400,191.1011,108.3984
-31.2500,50.7813,54.6265
-23.6816,-29.6631,24.1089
-6.4087,9.0942,21.3623
-10.4980,-11.9629,13.7329
-6.7139,-6.8359,-0.9766
4.1504,10.2539,3.6621
3.2959,7.8735,1.0376
1.5259,-1.5259,-2.3193
5.6152,0.0000,-1.5869
-7.4463,-11.4746,-7.1411
3.5400,-1.8311,-2.6245
5.5542,-9.1553,-3.4790
1.2207,-7.5073,-2.9907
2.8076,-3.7842,-1.4648
-1.6479,-9.7656,-1.5869
3.7842,-2.9297,-0.4883
-3.6621,-9.0332,-3.6621
-0.4272,-3.4180,0.3662
4.6997,-2.5635,-2.0752
-3.2959,-14.6484,-5.9814
-0.6714,-2.9297,-2.5024
2.3804,2.7466,0.1221
-2.4414,4.8218,3.1128
0.0000,-0.7324,-0.6714
-0.4883,-1.0376,0.5493
-1.1597,-3.5400,-0.9766
14.0381,219.6045,77.5146
74.7681,565.2466,215.0269
110.5347,693.1763,320.3735
84.6558,691.2231,376.3428
48.2788,587.0361,337.3413
-22.8271,341.4307,176.9409
-16.0522,12.6953,26.1230
-7.4463,-59.2041,-11.5356
-2.5024,-53.7109,-22.3389
-7.9956,-55.8472,-22.7661
-13.0615,-35.7666,-18.4937
-2.1973,-1.3428,1.7700
-6.5308,-4.5776,-0.3662
-5.1880,-12.3291,-9.5825
-0.9155,-2.5635,-1.9531
0.9766,-6.8970,-3.7231
-2.1362,-4.0283,-3.0518
1.0376,-2.3193,-1.0986
2.4414,-13.0615,-4.3945
-0.6714,-1.2207,-2.0752
1.7090,-6.8970,-0.9766
-3.9673,-12.6343,-4.9438
-0.4272,-1.8921,-0.3052
3.6011,2.2583,-0.1221
-4.9438,-7.2021,-3.2349
3.1738,-0.8545,-1.8311
-0.0610,0.7935,-1.8921
-0.6714,-4.2725,-3.7842
-0.3052,-6.9580,-3.7231
-2.6855,-0.4272,-1.4038
-1.6479,-4.2725,-3.2349
1.7700,-0.3052,-1.0376
4.5166,328.9185,106.4453
13.3667,583.4961,175.2930
50.4761,624.6948,193.9697
52.9785,507.9956,157.8979
52.3071,339.7217,94.6045
34.3018,247.6807,79.2847
19.2261,149.7192,55.8472
20.8130,112.3047,44.7388
-14.4653,-20.3857,14.4043
10.9253,69.6411,23.1323
-2.8076,5.2490,18.6768
-19.2261,-42.8467,0.1831
7.3242,14.3433,5.4932
14.5874,6.2256,8.1177
2.6855,-9.2163,1.6479
1.2817,6.9580,6.1035
2.5635,-1.2207,6.9580
-6.0425,-13.8550,1.7700
-5.7983,-10.7422,-1.6479
-6.1646,-11.2915,1.2207
-0.9155,-9.5215,3.4790
-1.6479,-3.1738,1.8311
-3.1738,-1.4038,0.3052
-2.3193,-17.3950,-3.1738
1.2207,-3.0518,-1.7090
-3.6011,-2.0142,-1.6479
0.3052,-1.2207,-0.7324
-0.5493,-4.2114,-1.1597
-0.9766,-2.4414,-1.1597
1.8311,0.3052,-0.7324
-0.1221,0.7935,0.6714
-1.0986,-0.6714,-1.0986
51.8188,373.0469,144.8364
47.9736,436.4014,199.4019
61.0962,439.0869,220.3369
-6.7139,289.0625,182.9834
1.0376,185.6079,127.3804
14.5874,81.6040,80.2612
-9.9487,37.2314,58.0444
1.6479,20.2637,36.3159
11.1084,16.0522,13.5498
-10.4980,-5.8594,1.2817
3.5400,-1.5259,-4.8828
-0.6714,-4.8218,-4.8828
2.0142,9.4604,-3.6011
3.6621,-0.0610,-5.8594
-4.5776,-2.2583,-4.4556
0.3052,21.7285,-0.9766
6.2866,11.4136,-3.1738
-9.7656,-24.5972,-7.2021
2.5635,10.3760,-2.5635
3.0518,-5.7373,-2.3804
-7.0190,-28.3813,-8.1177
4.5776,-6.1646,-6.2256
-0.5493,-4.2725,-1.5259
-3.3569,2.7466,0.7935
-1.4038,-0.6104,-1.8921
-3.4790,-14.1602,-4.2114
-2.5024,2.3804,-1.0986
4.2725,16.1743,5.3711
-5.5542,-14.2212,-5.4321
-5.7983,-13.6719,-4.9438
0.7935,3.2349,1.8311
-4.7607,-1.9531,-1.3428
27.5879,341.5527,123.3521
61.5234,444.9463,182.8613
83.1909,491.2109,217.3462
40.6494,387.9395,209.5947
26.2451,300.7202,169.0674
7.6294,189.0869,140.5640
3.9673,103.5767,79.9561
4.6997,52.7344,49.9268
3.4180,21.7285,39.7339
-2.0142,36.7432,32.1045
-11.7187,-0.3052,15.8081
-8.8501,-17.0288,1.7090
-7.6294,17.3950,7.6904
1.5869,6.8970,1.3428
-3.5400,-9.2773,-3.6011
-1.8921,-1.0376,-4.6387
-0.1221,-7.8735,-5.0049
-1.1597,0.9155,-1.1597
-4.3335,-9.8267,-5.0659
6.2256,-3.5400,-3.2349
1.3428,-1.1597,-1.1597
-4.8828,-7.8125,-3.2959
3.6011,-3.2349,-2.5635
3.5400,-4.3335,-3.4180
-0.3662,-8.0566,-4.3945
0.4883,1.4038,-1.4648
-2.3804,-1.3428,-0.5493
-5.0659,-4.2725,-3.5400
0.7324,10.1929,1.2207
-1.1597,-3.4790,-1.0986
-3.1128,-4.5776,-2.7466
1.5259,4.7607,2.1973
39.9780,445.7397,128.4790
57.9224,474.9146,163.7573
56.0303,481.1401,182.1899
53.4668,382.7515,170.6543
29.4189,295.3491,144.2871
6.3477,178.2837,116.1499
17.3340,119.6289,72.6929
3.3569,27.7100,46.8750
7.2632,28.8086,24.7192
-1.5259,4.7607,9.8267
-0.4272,6.5308,8.2397
4.3945,-1.6479,2.6245
-0.1221,-1.5259,0.7935
-0.6104,6.4697,-0.7324
1.2207,2.8076,-2.0752
-2.8076,-5.0049,-3.1128
5.3711,12.9395,0.2441
-5.0659,-13.3667,-5.2490
-1.5259,-9.5825,-6.1035
2.5024,7.9346,3.7842
-3.9062,-9.6436,-2.8076
-4.8828,8.6060,-0.6104
1.1597,10.9863,-0.9766
-0.6104,-3.0518,-0.7324
3.2349,5.4932,1.0986
-0.4272,1.4038,-2.8076
-0.3052,-6.2256,-1.7090
2.9297,-0.1831,-0.4272
-9.2163,-10.4980,-2.0142
2.8687,-5.6152,-3.4790
-1.0376,-1.2207,0.2441
-2.6245,-3.7842,-1.3428
28.8086,296.3257,95.7642
14.7705,334.2896,129.4556
16.3574,383.8501,165.4053
