timestamp,aX,aY,aZ,gX,gY,gZ
0,0.2831,-1.3427,0.8054,82.7637,59.9365,-93.1396
1,0.0664,-0.5850,0.8918,0.7324,-9.2163,15.7471
2,0.0347,-0.5063,0.8236,-3.4180,22.5830,-3.9673
3,0.1730,-0.5354,0.9594,11.4136,-9.6436,5.5542
4,0.0457,-0.4165,0.9078,7.1411,-12.2070,1.0376
5,0.1084,-0.4528,0.9171,-2.9297,2.9907,-0.6714
6,0.1022,-0.4976,0.9249,1.0376,-1.1597,-0.0610
7,0.4370,-0.7128,0.8420,-6.7139,-10.0708,13.4277
8,-0.0724,-1.1663,0.8247,-43.3960,-31.8604,91.5527
9,-0.1631,-0.7109,0.6451,-3.4180,10.6812,90.9424
10,-0.0574,-0.4752,0.7883,1.1597,-43.4570,80.6274
11,0.0719,-0.2721,0.8594,15.8691,-23.6206,62.3779
12,0.0881,-0.1274,1.0756,28.7476,-32.6538,29.5410
13,0.0117,0.1244,1.1321,23.3765,-10.6812,31.3110
14,-0.1449,0.4065,1.2095,-32.7759,28.7476,5.0659
15,0.2015,0.0701,1.0349,-9.0942,1.0376,-73.9136
16,0.4277,0.0398,1.0533,-38.5132,1.6479,-8.4839
17,0.0717,0.4819,1.0447,-32.6538,7.6904,2.8076
18,0.1887,0.4790,1.1578,-34.3628,17.2119,-15.6250
19,0.0740,0.3051,1.0112,30.3955,32.4097,-48.4009
20,-0.0369,-0.3748,0.6561,32.1655,-6.9580,-120.5444
21,-0.4722,-1.2906,0.3832,-18.1885,18.1885,-86.6089
22,0.6261,-1.3336,1.0419,58.0444,16.1133,-105.0415
23,-0.0652,-0.5861,0.8068,-0.7324,-15.4419,40.8936
24,0.0167,-0.5122,0.8778,12.7563,-6.5308,-8.2397
25,0.0974,-0.5748,1.0062,2.4414,-13.4277,12.1460
26,0.1134,-0.7512,0.9109,0.6714,-22.7051,37.2314
27,0.1588,-1.0909,0.6863,-36.7432,-0.7324,48.0347
28,-0.2023,-0.8470,0.7297,-40.8936,-0.6714,121.3379
29,-0.0531,-0.4371,0.8961,21.8506,-0.3052,90.7593
30,0.0612,-0.2751,0.7535,14.5874,8.8501,66.8945
31,0.1179,-0.0535,0.9270,45.5322,-34.9121,41.7480
32,0.2571,0.2324,1.2296,12.4512,-27.5269,-0.9155
33,-0.2285,0.4261,1.3269,0.6104,21.9116,17.4561
34,0.3378,-0.0564,0.8767,-44.4946,-1.5869,-78.8574
35,0.3649,-0.0403,1.0334,-24.4751,10.5591,-9.5215
36,0.2292,0.1931,1.1237,-21.1182,9.7656,13.8550
37,0.2776,0.2147,1.1448,-40.7104,14.0991,3.5400
38,0.1511,0.2646,1.0144,-40.1001,29.1748,-21.1182
39,0.0383,-0.1000,0.7502,-31.0669,-17.7612,-94.1772
40,-0.2882,-0.6709,0.6166,14.5874,-21.1182,-109.2529
41,-0.1538,-1.2426,0.7406,92.5903,18.3716,-108.4595
42,0.3103,-0.8385,0.8405,23.9258,10.8643,-37.5366
43,0.0840,-0.5934,0.8771,-8.0566,-1.2817,11.7798
44,0.0623,-0.5253,0.9597,3.6011,-6.2256,-6.4697
45,0.1680,-0.5316,0.9485,3.8452,-11.5967,-8.0566
46,0.0604,-0.5175,0.8839,-7.5684,-3.7231,12.4512
47,0.2815,-0.9264,0.8804,-6.8970,-12.3901,31.6162
48,-0.0723,-1.0909,0.7483,-38.6353,-4.0894,84.8999
49,-0.0193,-0.8610,0.6809,-11.9019,-1.4038,95.0317
50,-0.0072,-0.2299,0.8022,9.2773,-7.3853,95.2148
51,0.0604,-0.0054,0.8562,22.4609,-41.0767,57.8003
52,0.2349,0.0068,1.0365,24.4751,-14.4043,7.7515
53,0.2151,0.3389,1.2970,41.0156,38.1470,49.3774
54,-0.1062,0.2925,1.2130,-34.1797,17.9443,-27.8320
55,0.5437,-0.1567,0.9703,-24.1699,-1.3428,-31.1890
56,0.2592,0.0815,1.1232,-22.7051,2.3804,1.0986
